	Alcohol	Appellation	Bottle Size	Category	Date Published	Designation	Importer	Price	Variety	Winery	description	points	row	taster	title	url_i
3091	12.5%	Côte Rôtie, Rhône Valley, France	750 ml	Red	3/1/2018	Champin Le Seigneur	Esprit du Vin	$71,  Buy Now	Syrah-Viognier	Domaine Jean-Michel Gerin	Swirls of char, smoke, earth and game mingle into bright tones of black cassis and plum in this alluring, savory wine. A quiet seductress rather than a powerhouse Côte-Rôtie, this soft-spoken yet deeply complex bottling should improve through 2030.	93	3092	Anna Lee C. Iijima	Domaine Jean-Michel Gerin 2013 Champin Le Seigneur  (Côte Rôtie)	https://www.winemag.com/buying-guide/domaine-jean-michel-gerin-2013-champin-le-seigneur-cote-rotie/
3092	14.6%	Sonoma County, Sonoma, California, US	750 ml	Red	3/1/2018	Cuvée Moriah		$50,  Buy Now	Rhône-style Red Blend	Donelan	This memorable wine blends 84% Grenache from the Dry Stack Vineyard in Bennett Valley with 16% Mourvèdre from the Kopf Vineyard. It's exotic and approachable, offering a rich taste of cherry liqueur and tart pomegranate with a background of soft oak and earthy baking spice.	93	3093	Virginie Boone	Donelan 2014 Cuvée Moriah Red (Sonoma County)	https://www.winemag.com/buying-guide/donelan-2014-cuvee-moriah-red-sonoma-county/
3093	12.5%	Maule Valley, Chile	750 ml	Dessert	3/1/2018	Late Harvest	Palm Bay International	$44,  Buy Now	Torontel, Other White	Erasmo	A burnished gold color and rich honeyed aromas open this dessert Torontel with Old World shadings. A balanced palate suggests lateharvest Pinot Gris from Alsace, while flavors of honey, caramel and toffee finish with a pecan note. Drink through 2028.	93	3094	Michael Schachner	Erasmo 2012 Late Harvest Torontel (Maule Valley)	https://www.winemag.com/buying-guide/erasmo-2012-late-harvest-torontel-maule-valley/
3094	14%	Leithaberg, Austria	750 ml	Red	3/1/2018	Ried Föllig	Wein Bauer Inc	$50,  Buy Now	Blaufränkisch, Other Red	Esterházy	The nose is still closed and shy, just giving off hints of cherry. The palate is also taut and tightly coiled. Fine, taut tannins are still drying and firm, the fruit is still enclosed with brisk freshness. There is a dense core of fruit that still needs to unfold. This is powerful but remains resolutely elegant. Give this time to come into its own. Drink 2022–2030.	93	3095	Anne Krebiehl MW	Esterházy 2015 Ried Föllig Blaufränkisch (Leithaberg)	https://www.winemag.com/buying-guide/esterhazy-2015-ried-follig-blaufrankisch-leithaberg/
3095	14%	Leithaberg, Austria	750 ml	Red	3/1/2018	Ried Schildten	Wein Bauer Inc	$50,  Buy Now	Blaufränkisch, Other Red	Esterházy	Beautifully aromatic and pure notions of red cherry and tart blueberry become immediately apparent on the nose. They also swish across the palate where they reverberate with alcoholic warmth and a ripe, taut and concentrated density that is countered by equally impressive freshness. The long finish pull these elements together into a potent, powerful but smooth red. Drink 2020–2028.	93	3096	Anne Krebiehl MW	Esterházy 2015 Ried Schildten Blaufränkisch (Leithaberg)	https://www.winemag.com/buying-guide/esterhazy-2015-ried-schildten-blaufrankisch-leithaberg/
3096	14.8%	El Dorado, Sierra Foothills, California, US	750 ml	Red	3/1/2018	Dorado Canyon Vineyard		$29,  Buy Now	Malbec	Everhart Cellars	Very ripe and concentrated, this full-bodied wine has powerful fruit flavors, a big impact on the palate and very firm tannins to hold it together. The color is very deep, the aromas are like ripe blackberries dusted with cinnamon and cedar, and the flavors go deep and long, lingering on the finish.	93	3097	Jim Gordon	Everhart Cellars 2014 Dorado Canyon Vineyard Malbec (El Dorado)	https://www.winemag.com/buying-guide/everhart-cellars-2014-dorado-canyon-vineyard-malbec-el-dorado/
3097	14%	Anderson Valley, California, US	750 ml	Red	3/1/2018	Charles Vineyard Zero		$39,  Buy Now	Pinot Noir	Foursight	This is an envelope-pushing wine that's distinctive and untamed in the way that it combines earthy, savory and mineral aromas with complex, meaty and fruity flavors that have wonderful depth on the palate and length on the finish. The balance is spot-on due to firm acidity and lean tannins, supporting the tangle of unusual and enjoyable tastes. Zero in this case means no added yeast, no new oak and no fining or filtration.	93	3098	Jim Gordon	Foursight 2015 Charles Vineyard Zero Pinot Noir (Anderson Valley)	https://www.winemag.com/buying-guide/foursight-2015-charles-vineyard-zero-pinot-noir-anderson-valley/
3098	13%	Kremstal, Austria	750 ml	White	3/1/2018	Ried Gebling Reserve	Boutique Wine Collection	$39,  Buy Now	Riesling	Hermann Moser	This wine's intriguing nose offers creamy apricot and zesty green Seville orange notes. The interplay is less dramatic on the fluid, dry and fresh palate, where zestiness definitely has the upper hand. It's ripe and rounded. Long live Riesling contradictions, especially when they are so delicious and persistent.	93	3099	Anne Krebiehl MW	Hermann Moser 2016 Ried Gebling Reserve Riesling (Kremstal)	https://www.winemag.com/buying-guide/hermann-moser-2016-ried-gebling-reserve-riesling-kremstal/
3099	12.5%	Kamptal, Austria	750 ml	White	3/1/2018	Ried Heiligenstein	Skurnik Wines, Inc	$65,  Buy Now	Riesling	Hirsch	This wine's nose gives a tropical aspect of pineapple, a green hint of moss and a citrusy dash of lime. The slender, almost slight palate comes in with juicy, fluid freshness that surrounds a vein of lemon flavor. The dry finish has a cleansing quality.	93	3100	Anne Krebiehl MW	Hirsch 2016 Ried Heiligenstein Riesling (Kamptal)	https://www.winemag.com/buying-guide/hirsch-2016-ried-heiligenstein-riesling-kamptal/
3100	13%	Morgon, Beaujolais, France	750 ml	Red	3/1/2018	Grands Cras	Ideal Wine and Spirits	$25,  Buy Now	Gamay	Jean-Marc Burgaud	One of three bottlings from this producer that showcases different aspects of Morgon, this wine is full, seriously structured and has the potential of great fruitiness. That will take time; for now the wine is a series of rich tannins that are very mineral in texture. Drink from 2019.	93	3101	Roger Voss	Jean-Marc Burgaud 2016 Grands Cras  (Morgon)	https://www.winemag.com/buying-guide/jean-marc-burgaud-2016-grands-cras-morgon/
3101	13%	Walla Walla Valley (WA), Columbia Valley, Washington, US	750 ml	Red	3/1/2018	Rock Garden		$55,  Buy Now	Syrah	K Vintners	Coming from The Rocks District, the aromas pop, with notes of flower, raspberry, moist earth, wet gravel, green stem, smoked meat, peat and musk. The palate shimmers with intensity but still shows a lot of restraint, displaying an assortment of fruit and savory flavors that persist on the finish.	93	3102	Sean P. Sullivan	K Vintners 2014 Rock Garden Syrah (Walla Walla Valley (WA))	https://www.winemag.com/buying-guide/k-vintners-2014-rock-garden-syrah-walla-walla-valley-wa/
3102	13.5%	Burgenland, Austria	750 ml	Red	3/1/2018	Das Phantom	H. Mercer Wine &amp; Spirit Imports	$39,  Buy Now	Red Blend	Kirnbauer	The merest hint of tar rises from the glass. The palate needs a lot of swishing to open up but allows glimpses of black cherry and white pepper, of ripeness and cinnamon spice, of precision and freshness. The tannic frame is fine but still closed and very crunchy. Allow this to mellow a little, then rejoice in the balance provided by the vivid freshness. Drink 2020–2028.	93	3103	Anne Krebiehl MW	Kirnbauer 2015 Das Phantom Red (Burgenland)	https://www.winemag.com/buying-guide/kirnbauer-2015-das-phantom-red-burgenland/
3103	14.5%	Colchagua Valley, Chile	750 ml	Red	3/1/2018	Cuvée Alexandre Viñedo Apalta	Terlato Wines International	$24,  Buy Now	Cabernet Sauvignon	Lapostolle	This lusty Cabernet is earthy, jammy and warm on the nose. In the mouth, this is broad and massive, with an undercurrent of firm tannins that provide structure. Deep dark flavors of blackberry, plum and fig finish with strength on a fruit-packed finish. Drink through 2025.	93	3104	Michael Schachner	Lapostolle 2014 Cuvée Alexandre Viñedo Apalta Cabernet Sauvignon (Colchagua Valley)	https://www.winemag.com/buying-guide/lapostolle-2014-cuvee-alexandre-vinedo-apalta-cabernet-sauvignon-colchagua-valley/
3104	12.5%	Morgon, Beaujolais, France	750 ml	Red	3/1/2018	Côte du Py	Zancanella Importing Co	$25,  Buy Now	Gamay	Lucien Lardy	This famed slope in Morgon has produced yet another powerful, structured wine. This one, with dark black fruit, rich tannins and plush texture, is dense and delivers great ripe fruitiness. With its tannins and acidity it will age. Drink from 2019.	93	3105	Roger Voss	Lucien Lardy 2016 Côte du Py  (Morgon)	https://www.winemag.com/buying-guide/lucien-lardy-2016-cote-du-py-morgon/
3105	13.83%	Edna Valley, Central Coast, California, US	750 ml	White	3/1/2018	Oliver's Vineyard		$22,  Buy Now	Riesling	Maidenstoen	Springtime fresh on the nose, this bottling by Mike Callahan, who is the assistant winemaker at Chamisal, shows guava, crushed chalk, Key lime skin and ripe melon on the nose. The palate is zippy with penetrating acidity, offering more lime as well as Asian pear and Gravenstein apple flavors.	93	3106	Matt Kettmann	Maidenstoen 2016 Oliver's Vineyard Riesling (Edna Valley)	https://www.winemag.com/buying-guide/maidenstoen-2016-olivers-vineyard-riesling-edna-valley/
3106	14.5%	Diamond Mountain District, Napa, California, US	750 ml	Red	3/1/2018			$100,  Buy Now	Cabernet Sauvignon	Mueller	From one of the warmer mountain ranges in the Napa Valley, this wine exhibits plenty of elegance and classic restraint, though it offers plenty of simultaneous power. Cedar, dried herb, red currant and black pepper make up the range of seasonings, with a touch of crayon wax and bitter leather riding along a substantial grip of tannin. Cellar and enjoy best from 2023–2033.	93	3107	Virginie Boone	Mueller 2013 Cabernet Sauvignon (Diamond Mountain District)	https://www.winemag.com/buying-guide/mueller-2013-cabernet-sauvignon-diamond-mountain-district/
3107	14.2%	Russian River Valley, Sonoma, California, US	750 ml	White	3/1/2018	Zio Tony Ranch		$65,  Buy Now	Chardonnay	Patz &amp; Hall	A salty air of quince and tart lemon give life and freshness to this focused and expansive white, from a site long farmed by the Martinelli family in the heart of the appellation. Green apple and nutmeg add secondary characteristics, as toasted oak appears on the lengthy finish.	93	3108	Virginie Boone	Patz & Hall 2015 Zio Tony Ranch Chardonnay (Russian River Valley)	https://www.winemag.com/buying-guide/patz-hall-2015-zio-tony-ranch-chardonnay-russian-river-valley/
3108	13.5%	Niederösterreich, Austria	750 ml	Red	3/1/2018	Burggarten Reserve	Esprit du Vin	$40,  Buy Now	Zweigelt, Other Red	R&amp;A; Pfaffl	Sumptuous notes of ripe, red cherry almost veer into ripe plum territory and have a spicy, mellow hint of vanilla and cinnamon. The palate replays these flavors, complete with finely woven tannins that seem to boost the aromatic cinnamon notes. A rich wine but without superfluous fat. Lovely, velvety and sensuous in a modern, international style.	93	3109	Anne Krebiehl MW	R&A; Pfaffl 2015 Burggarten Reserve Zweigelt (Niederösterreich)	https://www.winemag.com/buying-guide/ra-pfaffl-2015-burggarten-reserve-zweigelt-niederosterreich/
3109	14.5%	Carneros, Napa-Sonoma, California, US	750 ml	White	3/1/2018	Reserve		$57,  Buy Now	Chardonnay	Robert Mondavi	This is a well-made, powerful wine. Elegant, integrated and effusive in oak, it has pretty apple blossom aromas and boldly layered flavors of green apple, crème brûlée and lemon meringue. The finish is lush in a honeycomb tone. This will do well in the cellar; enjoy 2020–2025.	93	3110	Virginie Boone	Robert Mondavi 2015 Reserve Chardonnay (Carneros)	https://www.winemag.com/buying-guide/robert-mondavi-2015-reserve-chardonnay-carneros/
3110	13%	Kremstal, Austria	750 ml	White	3/1/2018	Von Stein Reserve	Fruit of the Vines, Inc	$48,  Buy Now	Grüner Veltliner	Salomon-Undhof	This wine's shy nose gives very little away, apart from a promise of citrus. The palate evokes layers of salty and tangy miso, brightened by mouthwateringly fresh lemon notes that accentuate the saltiness all the way through the finish. This needs time to unfold. Drink 2020–2030.	93	3111	Anne Krebiehl MW	Salomon-Undhof 2016 Von Stein Reserve Grüner Veltliner (Kremstal)	https://www.winemag.com/buying-guide/salomon-undhof-2016-von-stein-reserve-gruner-veltliner-kremstal/
3111	13.5%	Washington, Washington Other, Washington, US	750 ml	White	3/1/2018	Uncovered		$35,  Buy Now	Chardonnay	Sixto	This wine is a blend of fruit from Frenchman Hills (33%), Moxee (28%), Roza Hills (27%) and Evergreen vineyards. The aromas show a lot of subtlety, with notes of candied ginger, lemon curd, spice, peach, cream, toast, wet stone and pineapple, revealing more on each swirl. The palate is rich but refined, showing precision and detail along with a real sense of freshness. The finish impresses. Beautiful stuff.	93	3112	Sean P. Sullivan	Sixto 2014 Uncovered Chardonnay (Washington)	https://www.winemag.com/buying-guide/sixto-2014-uncovered-chardonnay-washington/
3112	13%	Kremstal, Austria	750 ml	White	3/1/2018	Ried Wachtberg Reserve	Craft + Estate–The Winebow Group	$44,  Buy Now	Grüner Veltliner	Stadt Krems	A creamy whiff of fresh, juicy yellow pear creates a most appetizing nose in this wine. That pure, friendly fruit dominates the palate, illuminating a background of spice and herb notes that recall dried sage and fennel seed. Lemon freshness frames everything and makes for a lovely, full-flavored mouthful.	93	3113	Anne Krebiehl MW	Stadt Krems 2016 Ried Wachtberg Reserve Grüner Veltliner (Kremstal)	https://www.winemag.com/buying-guide/stadt-krems-2016-ried-wachtberg-reserve-gruner-veltliner-kremstal/
3113	13%	Kremstal, Austria	750 ml	White	3/1/2018	Ried Gottschelle Reserve	Circo Vino	$51,  Buy Now	Grüner Veltliner	Stift Göttweig	The nose of this wine appears as a creamy cloud of green and yellow pear. The palate continues in a similar vein, its fruity, friendly, appetizing fruit congregated around a central spine of bright lemon freshness. A deeper core of savory yeast notes sleeps just beneath the surface; give it time to wake up. Drink 2020–2028.	93	3114	Anne Krebiehl MW	Stift Göttweig 2016 Ried Gottschelle Reserve Grüner Veltliner (Kremstal)	https://www.winemag.com/buying-guide/stift-gottweig-2016-ried-gottschelle-reserve-gruner-veltliner-kremstal/
3114	13%	Toscana, Tuscany, Italy	750 ml	Red	3/1/2018	Guidalberto	Kobrand	$60,  Buy Now	Red Blend	Tenuta San Guido	Redcurrant, blue flower, cedar and a hint of pine forest are just some of the aromas you'll find on this fragrant red. A blend of Cabernet Sauvignon and Merlot, the bright, savory palate doles out juicy raspberry, red cherry, tobacco and white pepper alongside fine-grained tannins while a licorice note graces the close. Enjoy through 2027.	93	3115	Kerin O’Keefe	Tenuta San Guido 2015 Guidalberto Red (Toscana)	https://www.winemag.com/buying-guide/tenuta-san-guido-2015-guidalberto-red-toscana/
3115	14.8%	Yorkville Highlands, North Coast, California, US	750 ml	Red	3/1/2018	Estate Grown		$39,  Buy Now	Petite Sirah	Theopolis	Theodora Lee is making brilliant wines from her estate property in Mendocino County. Great concentration and a monumental structure help this wine stand out, even in a field crowded with those qualities. It tastes a little quiet and tight now, and needs time to mellow so that more complexity and richness comes out. Still, it already shows intriguing layers of black pepper, black fig, blueberry and graphite. Best after 2025.	93	3116	Jim Gordon	Theopolis 2015 Estate Grown Petite Sirah (Yorkville Highlands)	https://www.winemag.com/buying-guide/theopolis-2015-estate-grown-petite-sirah-yorkville-highlands/
